Name|Description|Code|Image|Price|Sale Price|Category
White Chocolate Covered Gummi Bears: 8LB Tub|"
   
        <br><p id=""longDescription""></p>
<div>Delicious gummi bears smothered in rich white chocolate!</div>
<div>
<br>
Unit Cost = $8.60/lb.</div>
<div>
<br>
Resealable plastic tub contains 8 pounds of White Chocolate Covered Gummy Bears. Made in Sweden.</div>
<div>
<br>
Shipping Weight ~ 10 lbs.</div>
    "|129896|/assets/item/regular/white-choc-covered-gummi-bears-icon-129896-im.jpg|68.80|""|Bulk Chocolates
Chocolate Espresso Coffee Beans: 10LB Case|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/chocolate-covered-espresso-beans.jpg|59.50|""|Bulk Chocolates
Milk Chocolate Covered Mini Pretzels: 4LB Box|"
   
        <br><p id=""longDescription""></p>
<div>Crispy, mini pretzels drenched in rich milk chocolate!<br><br>
There are approximately 80 pieces per pound.<br><br>
Unit Price = $14.90/lb.<br><br>
Box contains 4 pounds of Milk Chocolate Covered Mini Pretzels Candy.<br>
Made in the USA.<br><br>
Shipping Weight ~ 5 lbs.  Kosher Certified.</div>
    "|127037|/assets/item/regular/ashers-milk-choc-mini-pretzels-icon-127037-im.jpg|59.60|""|Bulk Chocolates
White Chocolate Covered Mini Pretzels: 4LB Box|"
   
        <br><p id=""longDescription""></p>
<div>Crispy, mini pretzels drenched in rich white chocolate!<br><br>
There are approximately 80 pieces per pound.<br><br>
Unit Price = $14.90/lb.<br><br>
Box contains 4 pounds of White Chocolate Covered Mini Pretzels Candy. Made in the USA.<br><br>
Shipping Weight ~ 5 lbs.  Kosher Certified.</div>
    "|127038|/assets/item/regular/ashers-white-choc-mini-pretzels-icon-127038-im.jpg|59.60|""|Bulk Chocolates
Dark Chocolate Covered Mini Pretzels: 4LB Box|"
   
        <br><p id=""longDescription""></p>
<div>Crispy, mini pretzels drenched in rich dark chocolate!<br><br>
There are approximately 80 pieces per pound.<br><br>
Unit Price = $14.90/lb.<br><br>
Box contains 4 pounds of Dark Chocolate Covered Mini Pretzels Candy.<br>
Made in the USA.<br><br>
Shipping Weight ~ 5 lbs.  Kosher Certified.</div>
    "|127036|/assets/item/regular/ashers-dark-choc-mini-pretzels-icon-127036-im.jpg|59.60|""|Bulk Chocolates
Brach's Milk Chocolate Stars Candy Drops: 12-Ounce Bag|"
   
        <br><p id=""longDescription""></p>
<div>Amazing milk chocolate stars that will light up your candy universe.<br>
The ""Original"" chocolate star drops!<br><br><b>Drop Width:</b> 3/4 Inch<br><br>
Bag contains 12 ounces of Brach's Milk Chocolate Star Drops Candy...that's about 90 pieces.<br><br>
Shipping Weight ~ 1 lb.</div>
    "|129758|/assets/item/regular/image-129758.jpg|5.00|""|Bulk Chocolates
Gourmet Milk Chocolate Covered Raisins: 10LB Case|"
   
        <br><p id=""longDescription""></p>
<div>A trip to the movies can be as good as a mini vacation. Sitting there in the dark, you can lose yourself in the images of the screen in front of you. To complete your trip into this imaginary world, you may want to be coaxed into a languid state by a snack so rich, sweet, and charming as these amazing Chocolate Covered Raisins. Now that's good casting.<br><br>
To create these scrumptious candy sensations, plump California raisins are drenched in rich milk chocolate, made with no artificial flavors or colors and no preservatives. The enchanting chocolate makes a nice complement to the sweetness of the raisins.<br><br>
Unit Price = $4.95/lb.<br><br>
Case contains 10 pounds of Gourmet Milk Chocolate Covered Raisins.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 11 lbs. Kosher Certified.</div>
    "|125753|/assets/item/regular/milk-chocolate-covered-raisins-125753.jpg|49.50|""|Bulk Chocolates
Seafoam Honeycomb Sponge Chocolates: 7LB Box|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/image-127042.jpg|89.60|""|Bulk Chocolates
Chocolate Covered Oreo Cookies: 5LB Box|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/image-129038.jpg|59.50|""|Bulk Chocolates
Milk Chocolate Covered Pecans: 5LB Bag|"
   
        <br><p id=""longDescription"">Plump, fresh pecans smothered in rich milk chocolate!<br><br>Unit Price = $9.90/lb.<br><br>Bag contains 5 pounds of Milk Chocolate Covered Pecans Candy.<br>Made in the USA.<br><br>Shipping Weight ~ 6 lbs.</p>
    "|128463|/assets/item/regular/image-128463.jpg|49.50|""|Bulk Chocolates
Wonka Runts Fruit Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Hard, fruity sweet tart candies featuring an assortment of five fabulous shapes and flavors:<br><b>Strawberry<br>
Grape<br>
Orange<br>
Banana<br>
Green Apple<br></b> <br>
There are approximately 400 pieces per pound.<br><br>
Unit Price = $3.00/lb.<br><br>
Bag contains 5 pounds of Wonka Runts Fruity Candy.<br><br>
Shipping Weight ~ 6 lbs.</div>
    "|126883|/assets/item/regular/runts-ic-1268831.jpg|15.00|""|Bulk Unwrapped Candy
Candy Fruit Jell Slices: 5LB Box|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/assorted-Fruit-Jelly-Slices-ff-1253751.jpg|29.50 - 39.50|""|Bulk Unwrapped Candy
Mini Assorted Fruit Jell Slices -Unwrapped: 5LB Box|"
   
        <br><p id=""longDescription""></p>
<div>Mini fruit jell slices in an assortment of fabulous fruity flavors like <b>Cherry, Grape, Lemon, Lime, Orange, and Watermelon.</b><br><br>
There are approximately 55 pieces per pound.<br><b>Slice Dimensions (Inches):</b> 1 1/2 x 3/4<br><br>
Unit Price = $5.90/lb.<br><br>
Box contains 5 pounds of Mini Assorted Fruit Jell Slices Candy.<br>
Made in Canada.<br><br>
Shipping Weight ~ 6 lbs.</div>
    "|127291|/assets/item/regular/image-127291.jpg|29.50|""|Bulk Unwrapped Candy
Sour Power Candy Belts: 3KG Bag|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/sour-power-belts-parent-im.jpg|48.00|""|Bulk Unwrapped Candy
Rock Candy Strings: 5LB Box|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/image-125207.jpg|39.50|""|Bulk Unwrapped Candy
Rock Candy Crystal Sticks Assortment - Unwrapped: 120-Piece Box|"
   
        <br><p id=""longDescription"">If you like brightly colored sweetness, you'll love these pure sugar crystalline delights! Assortment includes seven fabulous flavors:<br><b>Strawberry, Cherry, Watermelon, Blue Raspberry, Cotton Candy, Grape</b> and <b>Natural. </b><br><br>There is approximately 4 inches of rock candy on each stick.<br><br><b>Total Length:</b> 6 Inches<br><br>Unit Price = $0.75/stick.<br><br>Case contains 120 unwrapped Assorted Color Rock Candy Crystal Sticks.<br><br>Made in the USA.<br><br>Shipping Weight ~ 10 lbs.  Kosher Certified.</p>
    "|127392|/assets/item/regular/rock-candy-crystal-sticks-assortment-127392-w.jpg|90.00|""|Bulk Unwrapped Candy
Rock Candy Swizzle Sticks - Assorted Colors - Unwrapped: 72-Piece Box|"
   
        <br><p id=""longDescription""></p>
<div>Classic rock candy on a swizzle stick for easier handling.<br>
Perfect as coffee or cocktail drink stirrers!<br><br><b>Stick Length:</b> 5 1/2 Inches<br><br>
There are approximately 2 inches of rock candy on each stick.<br><br>
Unit Price = $0.65/stick.<br><br>
Case contains 72 Assorted Colors Rock Candy Swizzle Sticks.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 5 lbs.  Kosher Certified.</div>
    "|126881|/assets/item/regular/Swizzle-Sticks-more-126881.jpg|46.80|""|Bulk Unwrapped Candy
Rock Candy Crystals: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/inset-125037.jpg|29.50|""|Bulk Unwrapped Candy
Micro Assorted Colors 1/4-Inch Jawbreakers: 10LB Case|"
   
        <br><p id=""longDescription""></p>
<div>Tiny, colorful jawbreakers that will jostle about in your mouth as you suck on handfuls at a time! Because of their small size and the panning process used to manufacture them, these candies are actually soft, unlike pressed dextrose candies such as Tart-n-Tiny's.<br><br><b>Jawbreaker Diameter:</b> 1/4 Inch<br><br>
Unit Price = $3.95/lb.<br><br>
Case contains 10 pounds of Assorted Colors Micro Jawbreakers Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 11 lbs. Kosher Certified.</div>
    "|126843|/assets/item/regular/jawbreakers-candy-126843.jpg|39.50|""|Bulk Unwrapped Candy
Skittles Candy: 54-Ounce Bag|"
   
        <br><p id=""longDescription""></p>
<div>Chewy candy spheres in an assortment 5 fruity flavors:<br><b>Strawberry, Orange, Lime, Lemon, and Grape.</b><br>
Catch the rainbow!<br><br>
Resealable bag contains 54 ounces of Skittles Candy.<br><br>
Shipping Weight ~ 4 lbs.</div>
    "|126889|/assets/item/regular/image-126889.jpg|12.90|""|Bulk Unwrapped Candy
Candy Buttons Strips: 1000-Piece Case|"
   
        <br><p id=""longDescription""></p>
<div>Classic strips of candy buttons in bright yellow, blue, and red with corresponding flavors of lemon, lime, and cherry!<br><br>
Unit Price = $0.20/strip.<br><br>
Case contains 1,000 Candy Button Strips.<br>
Made in the USA.<br><br>
Shipping Weight ~ 25 lbs.</div>
    "|127966|/assets/item/regular/necco-candy-buttons-127966.jpg|200.00|""|Bulk Unwrapped Candy
Mike & Ike Candy: 4.5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Yummy, chewy candies in an assortment of fabulous fruity flavors. Mike and Ikes are a candy classic!<br><br>
There are approximately 225 pieces per pound.<br><br>
Unit Price = $3.30/lb.<br><br>
Bag contains 4.5 pounds of Mike and Ike Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 5 lbs.  Kosher Certified.</div>
    "|126884|/assets/item/regular/Mike-Ike-Candy-im-1268841.jpg|14.85|""|Bulk Unwrapped Candy
Candy Blox - Bulk: 11LB Case|"
   
        <br><p id=""longDescription""></p>
<div>Looks and plays just like traditional plastic building blocks -- only better, you can eat your delicious candy creations! These pressed dextrose pieces come in different sizes.... 2-pin, 4-pin,  6-pin, and 8-pin, so that young candy architects can create a variety of  structures.<br><br><b>Blue:</b> Raspberry<br><b>Yellow:</b> Banana<br><b>Red:</b> Cherry<br><b>Green:</b> Lime<br><br>
There are approximately 150 pieces per pound.<br><br>
Unit Price = $4.50/lb.<br><br>
Case contains 11 pounds of Candy Blox.<br>
Made in Canada.<br><br>
Shipping Weight ~ 12 lbs. Kosher Certified.</div>
    "|125359|/assets/item/regular/Candy-Blox-Bulk-11LB-Case-im-125359.jpg|49.50|""|Bulk Unwrapped Candy
Rainbow Licorice Laces CrEATables Candy Strings: 2LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Succulent strands of fruity licorice! Assortment includes 4 fabulous flavors: <b>Blue Raspberry, Green Apple, Lemon, and Strawberry.</b><br><br>
These delicious treats are bendy and stretchable, making them perfect for candy crafts at parties and other kid events. Simple set-up a craft table and place a pile of the candy strings in the middle. Your party will be a blast! Design your own hair weaves, bracelets, and animal shapes because these licorice strings are flexible and won't break easily. And the candy is not sticky, so it won't ruin carpet or clothing! It's the hottest trend in Europe right now.... what more do we need to say?!? Europeans are cool.<br><br>
There are approximately 50 strands per pound.<br><b>Strand Length:</b> 36 Inches<br><br>
Unit Price = $6.25/lb.<br><br>
Bag contains 2 pounds of Rainbow Licorice Laces CrEATable Candy Strings. Made in the Netherlands.<br><br>
Shipping Weight ~ 3 lbs.</div>
    "|127144|/assets/item/regular/image-127144.jpg|12.50|""|Bulk Unwrapped Candy
Hot Tamales Candy: 4.5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Spicy cinnamon chewy candy capsules with a bright red color!<br><br>
There are approximately 225 pieces per pound.<br><br>
Unit Price = $3.30/lb.<br><br>
Bag contains 4.5 pounds of Red Hot Tamales Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 5 lbs.  Kosher Certified.</div>
    "|125921|/assets/item/regular/hot-tamales-candy-ff-125921.jpg|14.85|""|Bulk Unwrapped Candy
Wonka Chewy Spree Candy: 30LB Case|"
   
        <br><p id=""longDescription""></p>
<div>A chewy version of the original fruity disk candy!<br><br>
Unit Price = $2.95/lb.<br><br>
Case contains 30 pounds of Chewy Spree Candy.<br><br>
Shipping Weight ~ 32 lbs.</div>
    "|128849|/assets/item/regular/chewy-spree-128849.jpg|88.50|""|Bulk Unwrapped Candy
Boston Baked Beans Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Fresh and crunchy peanuts featuring a red candy coating. An old time classic!<br><br>
There are approximately 380 pieces per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Boston Baked Beans Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 6 lbs. Kosher Certified.</div>
    "|125231|/assets/item/regular/small-boston-baked-beans-125231-ff.jpg|19.50|""|Bulk Unwrapped Candy
Jumbo Boston Baked Beans Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Yummy jumbo size candy coated peanuts!<br><br>
There are approximately 260 pieces per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Red Jumbo Boston Baked Beans Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 6 lbs. Kosher Certified.</div>
    "|128172|/assets/item/regular/jumbo-boston-baked-beans-128172-ff2.jpg|19.50|""|Bulk Unwrapped Candy
French Burnt Peanuts Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Fresh and crunchy Spanish peanuts featuring a red prickly candy coating. An old time classic!<br><br>
There are approximately 410 pieces per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of French Burnt Peanuts Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 6 lbs. Kosher Certified.</div>
    "|127995|/assets/item/regular/french-burnt-peanuts-candy-127995-ff.jpg|19.50|""|Bulk Unwrapped Candy
Rainbow Boston Baked Beans Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Delicious candy coated peanuts in fabulous rainbow colors!<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Rainbow Boston Baked Beans Candy. Made in the USA.<br><br>
Shipping Weight ~ 6 lbs.</div>
    "|130841|/assets/item/regular/boston-baked-beans-rainbow-130841-im.jpg|19.50|""|Bulk Unwrapped Candy
Assorted Rods Hard Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Long and sleek, these wrapped hard candy rods, each about 1-1/2 inch long, offer a fabulous selection of yummy flavors:<br><b>Sour Cherry, Apple, Butterscotch, Peppermint, Tangerine, Strawberry, Pineapple, Licorice, Wild Cherry, and Lemon.</b><br><br>
There are approximately 90 pieces per pound.<br><b>Rod Length:</b> 1 1/2 Inches<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Assorted Rods Hard Candy.<br>
Made in the USA.<br><br>
Shipping Weight ~ 6 lbs. Kosher Certified.</div>
    "|127427|/assets/item/regular/hard-candy-rods-127427.jpg|19.50|""|Bulk Wrapped Candy
Tootsie Fruit Rolls Mega Mix: 275-Piece Bag|"
   
        <br><p id=""longDescription""></p>
<div>A fun medley of fruity Tootsie Rolls that can be described best by one word.... MEGA. Assortment includes a Mega Mix of 8 fabulous flavors:<br><b>Green Apple<br>
Cherry<br>
Blue Raspberry<br>
Lemon<br>
Vanilla<br>
Orange<br>
Lime<br>
Grape</b><br><br>
Unit Price = $0.05/piece.<br><br>
Bag contains 275 pieces of Tootsie Fruit Rolls Candy Mega Mix.<br>
Made in the USA.<br><br>
Shipping Weight ~ 5 lbs. Kosher Certified.</div>
    "|129616|/assets/item/regular/image-129616.jpg|13.75|""|Bulk Wrapped Candy
Wonka Spree & SweeTarts Candy Twists: 75-Roll Bag|"
   
        <br><p id=""longDescription""></p>
<div>Fruity candy favorites in fun twist wraps.<br>
Made in the magical Willy Wonka candy factory!<br><br>
Unit Price = $0.10/roll.<br><br>
Bag contains 75 twist rolls of Wonka Spree and SweeTarts Candy.<br><br>
Shipping Weight ~ 2 lbs.</div>
    "|127666|/assets/item/regular/image-127666.jpg|7.50|""|Bulk Wrapped Candy
Life Savers Candy Singles - 13 Flavors Assortment: 1100-Piece Case|"
   
        <br><p id=""longDescription""></p>
<div>Your favorite little Life Savers candies.... with a cellophane wrapper around every piece! Perfect for the open candy jar in your life.<br><br>
Assortment includes 13 fabulous flavors:<br><b>Watermelon, Green Apple, Pineapple, Mango Melon, Cherry, Fruit Punch, Pina Colada, Tangerine, Banana, Grape, Orange, Lemon, and Raspberry.</b><br><br>
Unit Price = $0.05/piece.<br><br>
Case contains 1,100 LifeSavers Singles Candy Assortment packed in 12 bags, each with a net weight of 13 ounces.<br><br>
Shipping Weight ~ 11 lbs.</div>
    "|130623|/assets/item/regular/Lifesavers-ff-130623.jpg|55.00|""|Bulk Wrapped Candy
Jolly Rancher Hard Candy Assortment: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>What's a jolly rancher? A happy guy with cows? No, it's a legendary hard candy, bursting with sweet-tart flavor that lasts for the life of the sucker – right down to that itty-bitty, rice-sized piece you'll be nursing with your tongue. So start suckin'!<br>
They come in an assortment of 5 fruit flavors:<br><b>Apple, Blue Raspberry, Cherry, Grape, and Watermelon.</b><br><br>
There are approximately 75 pieces per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Jolly Rancher Hard Candy Assortment.<br><br>
Shipping Weight ~ 6 lbs.</div>
    "|126887|/assets/item/regular/jolly-rancher-candy-126887.jpg|19.50|""|Bulk Wrapped Candy
Smarties Candy Rolls: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Yummy little sweet tarts in a twisted-on cellophane wrapper.<br>
A classic favorite!<br><br>
There are approximately 60 rolls per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Smarties Candy Rolls.<br><br>
Made in Canada.<br><br>
Shipping Weight ~ 6 lbs.</div>
    "|126915|/assets/item/regular/smarties-candy-rolls-bulk.jpg|19.50|""|Bulk Wrapped Candy
Starburst Fruit Chews Candy: 3LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>""A burst of refreshing fruit flavor,"" Starburst Fruit Chews are classic, bite-size, square-shaped taffies that have been making mouths water since 1959. They are easily recognized as the quintessential summertime candy snack, delivering sweet, refreshing fruit flavors in every piece. Assorted flavors include strawberry, orange, cherry, and lemon.</div>
<div>
<br>
There are approximately 100 pieces per pound.<br><br>
Unit Price = $4.30/lb.<br><br>
Bag contains 3 pounds of Starburst Fruit Chews Candy.<br><br>
Shipping Weight ~ 4 lbs.</div>
    "|127415|/assets/item/regular/image-127415.jpg|12.90|""|Bulk Wrapped Candy
Tootsie Rolls Midgees Candy: 30LB Case|"
   
        <br><p id=""longDescription""></p>
<div>Classic Tootsie Roll Midgees chocolatey chunks in bulk!<br><br>
There are approximately 65 pieces per pound.<br><br>
Unit Price = $2.95/lb.<br><br>
Case contains 30 pounds of Tootsie Rolls Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 32 lbs. Kosher Certified.</div>
    "|126958|/assets/item/regular/tootsie-rolls-126958.jpg|88.50|""|Bulk Wrapped Candy
Tootsie Flavor Roll Twisties Candy: 30LB Case|"
   
        <br><p id=""longDescription""></p>
<div>Delicious chewy Tootsie Rolls in 5 fabulous flavors:<br><b>Cherry, Lemon, Orange, Vanilla, and Lime.</b><br><br>
There are approximately 65 pieces per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Case contains 30 pounds of Tootsie Flavor Rolls Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 32 lbs. Kosher Certified.</div>
    "|126918|/assets/item/regular/tootsie-flavor-roll-twisties-126918.jpg|117.00|""|Bulk Wrapped Candy
Strawberry Bon Bons Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
<div>Delicious strawberry bon bons hard candies with brightly colored strawberry sachet wraps!<br><br>
There are approximately 68 pieces per pound.<br><br>
Unit Price = $3.90/lb.<br><br>
Bag contains 5 pounds of Strawberry Bon Bons Candy.<br><br>
Shipping Weight ~ 6 lbs.</div>
    "|130441|/assets/item/regular/strawberry-bon-bons-candy-130441.jpg|19.50|""|Bulk Wrapped Candy
Root Beer Barrels Candy: 5LB Bag|"
   
        <br><p id=""longDescription""></p>
    "|""|/assets/item/regular/image-126901.jpg|19.50|""|Bulk Wrapped Candy
Jelly Belly 20-Flavor Jelly Beans -Wrapped: 5LB Case|"
   
        <br><p id=""longDescription""></p>
<div>Buttered popcorn? Cinnamon toast? Pink grapefruit? You can have 'em all at once, when you tear open a bag of Jelly Bellies, gourmet jelly beans with flavors that'll rock your tongue. These little morsels of flavor are excellent for party games: Close your eyes and guess which one you're eating! Well, or you could just enjoy them the normal way. The distinctive Jelly Belly logo is printed on each wrapper (just in case anybody thought you were cheating).<br><br>
There are approximately 200 pieces per pound. <br><br>
Unit Price = 11.90/lb.<br><br>
Case contains 5 pounds of wrapped Jelly Belly Assorted Jelly Beans Candy.<br><br>
Made in the USA.<br><br>
Shipping Weight ~ 6 lbs.  Kosher Certified.</div>
    "|128087|/assets/item/regular/wrapped-jelly-belly-jelly-beans.jpg|59.50|""|Bulk Wrapped Candy
Chipurnoi Glitterati Mint Medley Candy: 1600-Piece Bag|"
   
        <br><p id=""longDescription""></p>
<div>Distinctive, Dazzling, and Delicious!<br><br>
This eye-catching GLITTERATI Mint Medley is composed of six deliciously different mint candies, each of which is distinctive in its own right, including butter-mint, vanilla-mint, chocolate-mint, cinnamon-mint, peppermint, and spearmint. One could say that this very original assortment is a ""must"" for mint candy lovers.<br><br>
Bag contains 1,600 pieces of Chipurnoi Glitterati Mint Medley Candy.<br><br>
Made in Italy.<br><br>
Shipping Weight ~ 5 lbs.</div>
    "|125442|/assets/item/regular/icon-125442.jpg|56.00|""|Bulk Wrapped Candy
WarHeads Extreme Sour Candy Packs: 175-Piece Bag|"
   
        <br><p id=""longDescription""></p>
<div>Detonate explosive sour flavor bombs inside your mouth!<br><br>
Assortment includes 5 fabulous flavors:<br><b>Apple, Black Cherry, Blue Raspberry, Lemon, and Watermelon.</b><br><br>
Unit Price = $0.05/piece.<br><br>
Bag contains 175 packets of Mega WarHeads Extreme Sour Candy.<br><br>
Shipping Weight ~ 2 lbs.</div>
    "|127337|/assets/item/regular/warheads-candy-127337.jpg|8.75|""|Bulk Wrapped Candy
